codigo_comuna,pop_total,pop_chilean,pop_foreign,pct_foreign,median_age_chilean,median_age_foreign,mean_schooling_chilean,mean_schooling_foreign,emp_rate_chilean,emp_rate_foreign,dependency_ratio,eno_total,eno_chilean,eno_foreign,eno_desconocido,eno_top3_diseases,eno_rate_per_10k,nombre_comuna,grd_total,grd_chilean,grd_foreign,grd_pct_foreign,grd_mean_los,grd_mean_los_chilean,grd_mean_los_foreign,grd_mean_severity,grd_mortality_rate,grd_top3_chapters,grd_rate_per_10k,log_pop_total,pct_unemployed_chilean,pct_unemployed_foreign,pct_unemployed,schooling_gap,median_age_gap
5101,284938,272618,12320,4.32,36.8,30.1,11.4,11.9,53.9,63.2,46.98,4821,4312,421,88,Sífilis | VIH | Tuberculosis,169.19,Valparaíso,24180,22541,1639,6.78,5.6,5.7,4.9,1.92,2.84,Embarazo y parto | Enfermedades circulatorias | Enfermedades digestivas,848.61,12.560026891725041,46.1,36.8,41.45,-0.5,6.699999999999996
5102,29876,27607,2269,7.59,34.5,28.7,10.8,10.3,56.4,71.8,44.21,312,278,29,5,Sífilis | Coqueluche | VIH,104.43,Casablanca,2134,1963,171,8.01,4.8,4.9,4.1,1.78,2.15,Embarazo y parto | Enfermedades digestivas | Enfermedades respiratorias,714.29,10.304810761476958,43.6,28.200000000000003,35.900000000000006,0.5,5.800000000000001
13104,121587,103271,17686,14.54596297301521,39.0,34.0,11.325066467264872,11.98365271802894,0.610039476045218,0.7510392919404586,0.4786029599542751,1134,635,188,311,VIH | Parotiditis | Sifilis,93.26654987786524,Conchalí,10561,9346,1215,0.1150459236814695,6.366631947732222,6.6164134389043445,4.445267489711934,1.429504781744153,0.0368336331786762,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",868.596149259378,11.70838533490441,99.38996052395478,99.24896070805954,99.31946061600716,-0.6585862507640687,5.0
13105,155257,143714,10652,6.860882279059881,37.0,31.0,10.971926269356342,12.114082741328875,58.93712654010893,71.02159953298307,0.4970013113236655,1212,634,111,467,"VIH, Parotiditis, Coqueluche",78.06411305126339,El Bosque,9517,9046,471,4.949038562572239,7.223915099295997,7.369334512491709,4.43099787685775,1.774613848901965,3.4254491961752653,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99), Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",612.9836335881796,11.952837087346094,41.06287345989107,28.978400467016925,35.020636963453995,-1.142156471972534,6.0
13107,101808,92790,8381,8.28,36.0,35.0,12.77,14.12,63.92,75.8,44.0,832,456,68,308,VIH | Parotiditis | Sifilis,81.72245796008173,Huechuraba,6170,5743,427,6.92,6.09,6.22,4.27,1.37,3.42,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",606.0,11.530843965472574,36.08,24.200000000000003,30.14,-1.3499999999999996,1.0
13108,116943,64272,51908,44.38743661441899,36.0,33.0,12.854490256989552,12.936710529785609,67.16144308373858,80.3780623734674,39.83546377452797,1642,607,786,0,Dato Faltante,156.38095238095238,Independencia,10573,0,0,0.0,6.467889908256881,0.0,0.0,0.0,2.8563321668400645,Dato Faltante,1006.952380952381,11.66944191558223,32.838556916261425,19.6219376265326,26.230247271397012,-0.08222027279605726,3.0
13109,103157,82209,19762,19.15720697577479,37.0,32.0,12.724804060352865,13.401106500691563,0.6740233337606916,0.787795936121295,0.4479394756049632,714,333,149,232,VIH | Parotiditis | Coqueluche,69.21488604748102,La Cisterna,7338,6249,1089,0.1484055600981193,6.360997547015535,6.6426628260521685,4.744719926538108,1.6107931316434996,0.037884982284001,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",711.342904504784,11.544007378533257,99.32597666623931,99.2122040638787,99.26909036505901,-0.6763024403386986,5.0
13110,374836,335340,36685,9.786946824744687,38.0,34.0,12.846742116528745,13.96530903502031,65.99295673680061,78.78579385361378,46.80625237440616,2128,1539,342,247,VIH | Sifilis | Parotiditis,56.77149473369687,La Florida,49846,46736,3110,6.239216787706135,6.002897539774099,6.132361800395881,4.133388566694284,1.4035218054774716,2.9992376519680617,H25.9 | K80.2 | Z51.1,1329.8082361352697,12.834243875961102,34.00704326319939,21.214206146386218,27.610624704792805,-1.118566918491565,4.0
13111,112022,101705,9550,8.525111138883434,39.0,32.0,10.85673384925022,12.150498640072527,59.35718379536063,72.13942914877495,49.86421223026395,943,454,108,381,VIH | Parotiditis | Coqueluche,84.17989323525737,La Granja,14803,13943,860,5.809633182463014,5.393568871174762,5.440436061105931,4.633720930232558,1.482875092886577,2.526514895629264,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.09  ENFERMEDADES DEL APARATO CIRCULATORIO (I00-I99),1321.4368606166645,11.626450559559094,40.64281620463937,27.86057085122505,34.251693527932204,-1.2937647908223067,7.0
13112,175421,166483,7732,4.44,34.0,32.0,10.01,11.47,55.71,67.68,49.0,1507,755,102,650,VIH | Parotiditis | Coqueluche,85.90761653393837,La Pintana,25556,24778,778,3.04,5.37,5.42,3.86,1.47,1.953,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1456.8,12.074944078093388,44.29,32.31999999999999,38.30499999999999,-1.4600000000000009,2.0
